,date,open,close,high,low,volume,dopen,dclose,dhigh,dlow,dvolume,price
0,2010-08-06,0.0836208130159116,0.083543411762157,0.0835133522556872,0.0833696859209963,0.2239153310668609,0.0836208130159116,0.083543411762157,0.0835133522556872,0.0833696859209963,0.2239153310668609,0.083543411762157
1,2010-08-09,0.0830996400482767,0.084400196512713,0.0834737348614793,0.0842621328796238,0.1262883816307808,-0.0005211729676348892,0.0008567847505559917,-3.961739420790811e-05,0.000892446958627488,-0.09762694943608011,0.084400196512713
2,2010-08-10,0.0831161740180328,0.0841262938918008,0.0835562998324196,0.0837932168636623,0.1399007069235335,1.6533969756094002e-05,-0.0002739026209121892,8.256497094030757e-05,-0.0004689160159614958,0.01361232529275272,0.0841262938918008
3,2010-08-11,0.0823517732172879,0.0821271423084098,0.0822352414190803,0.082604979723757,0.149951432734337,-0.0007644008007448994,-0.0019991515833910067,-0.0013210584133393072,-0.0011882371399053043,0.01005072581080349,0.0821271423084098
4,2010-08-12,0.0800701622212295,0.082172242997688,0.081698573037226,0.0810940656343558,0.1487102692785062,-0.0022816109960584058,4.5100689278196326e-05,-0.0005366683818543022,-0.0015109140894011969,-0.0012411634558308071,0.082172242997688
5,2010-08-13,0.080907362527707,0.0812269510322025,0.0811107080415043,0.0816822960460328,0.1305042901084669,0.0008372003064775063,-0.000945291965485498,-0.000587864995721693,0.0005882304116770071,-0.0182059791700393,0.0812269510322025
6,2010-08-16,0.0800271353192952,0.0811000106886323,0.0808927297024384,0.080756242743109,0.0880281690140845,-0.000880227208411799,-0.00012694034357019213,-0.0002179783390659079,-0.0009260533029238072,-0.042476121094382396,0.0811000106886323
7,2010-08-17,0.0808295864959879,0.0819233806285634,0.0816903070790943,0.0816856519102155,0.1275362905401759,0.0008024511766926978,0.0008233699399310956,0.0007975773766559086,0.0009294091671065013,0.0395081215260914,0.0819233806285634
8,2010-08-18,0.0811456176705149,0.0805254902832528,0.0810578634640572,0.0809327220684511,0.1812098645512924,0.00031603117452699836,-0.0013978903453105984,-0.000632443615037101,-0.0007529298417643937,0.0536735740111165,0.0805254902832528
9,2010-08-19,0.0795853676084592,0.0781572356342368,0.0796773656600491,0.0785293498566813,0.2647590523986833,-0.001560250062055693,-0.002368254649016008,-0.0013804978040081045,-0.002403372211769811,0.0835491878473909,0.0781572356342368
10,2010-08-20,0.0774278386722891,0.0771634995732247,0.0778741282329371,0.0774822875459805,0.2642598888349252,-0.0021575289361701055,-0.0009937360610120932,-0.0018032374271119977,-0.0010470623107007998,-0.0004991635637581204,0.0771634995732247
11,2010-08-23,0.0763573587990753,0.0775058874752947,0.0773226016102164,0.0769293638405777,0.2014327343370568,-0.0010704798732137921,0.0003423879020700016,-0.000551526622720705,-0.0005529237054027886,-0.06282715449786838,0.0775058874752947
12,2010-08-24,0.0757286179037656,0.0753881508553113,0.0756911010749774,0.0757848094948286,0.1863566456208515,-0.000628740895309704,-0.002117736619983407,-0.001631500535239,-0.001144554345749102,-0.015076088716205305,0.0753881508553113
13,2010-08-25,0.0744546211344725,0.0759276072074443,0.0755986311665649,0.0756301952358981,0.1748489018401597,-0.001273996769293101,0.0005394563521330109,-9.24699084124958e-05,-0.0001546142589304994,-0.011507743780691804,0.0759276072074443
14,2010-08-26,0.0754572814645628,0.0753196784087265,0.0755078052493334,0.075704145734753,0.1198667098375694,0.0010026603300903048,-0.0006079287987178078,-9.08259172315018e-05,7.395049885489113e-05,-0.05498219200259029,0.0753196784087265
15,2010-08-27,0.0748781885485686,0.076630736450875,0.0759586166624496,0.0752352379793016,0.1559818682208191,-0.0005790929159942004,0.0013110580421484969,0.0004508114131162033,-0.0004689077554514004,0.036115158383249704,0.076630736450875
16,2010-08-30,0.0759685382147489,0.0756052797428649,0.0759206406131909,0.0760369273375692,0.0830635151907614,0.0010903496661802958,-0.001025456708010089,-3.797604925870335e-05,0.0008016893582676043,-0.07291835303005771,0.0756052797428649
17,2010-08-31,0.0744728215491595,0.0751593425063908,0.0751131397684779,0.0752940598526589,0.1313204899897469,-0.0014957166655893972,-0.00044593723647411154,-0.0008075008447129967,-0.0007428674849103006,0.04825697479898551,0.0751593425063908
18,2010-09-01,0.0752785971602311,0.0768812608971941,0.0767760183012185,0.0760503733159558,0.2177634774162214,0.0008057756110715908,0.0017219183908033092,0.0016628785327405943,0.0007563134632968954,0.0864429874264745,0.0768812608971941
19,2010-09-02,0.0765790624210081,0.0773572374516123,0.0766917872250141,0.0773629623126521,0.1136069289299012,0.0013004652607770117,0.00047597655441819486,-8.423107620439407e-05,0.0013125889966963122,-0.10415654848632021,0.0773572374516123
20,2010-09-03,0.0778497444854516,0.0785463670509201,0.0779220178924961,0.0785612791282279,0.1713615023474178,0.0012706820644434874,0.001189129599307795,0.001230230667481999,0.0011983168155757923,0.057754573417516594,0.0785463670509201
21,2010-09-07,0.076853710729609,0.0775609991314587,0.0772136075517213,0.077818426022168,0.1153405104959257,-0.0009960337558425902,-0.0009853679194613968,-0.0007084103407748038,-0.0007428531060598986,-0.05602099185149209,0.0775609991314587
22,2010-09-08,0.0769678762020451,0.0785931362346792,0.0780243993857994,0.0780688508682746,0.1620123037073012,0.00011416547243608965,0.001032137103220504,0.0008107918340781034,0.00025042484610660054,0.04667179321137549,0.0785931362346792
23,2010-09-09,0.0790592228986544,0.0795284043987059,0.0793289311227393,0.0790890046328958,0.163954994333819,0.002091346696609306,0.000935268164026698,0.0013045317369398957,0.0010201537646211956,0.0019426906265178068,0.0795284043987059
24,2010-09-10,0.079256114307888,0.0795217304207819,0.0792282088046456,0.0798453226454358,0.1331754897199287,0.00019689140923359605,-6.673977924004371e-06,-0.00010072231809370169,0.0007563180125400026,-0.030779504613890285,0.0795217304207819
25,2010-09-13,0.0795671828749262,0.080545531468884,0.07998120785809,0.0805932194940462,0.1511993416437321,0.00031106856703820573,0.0010238010481021104,0.0007529990534444059,0.0007478968486104021,0.018023851923803402,0.080545531468884
26,2010-09-14,0.0797508256080816,0.0802382204546334,0.0800472599225999,0.0806856554895459,0.1495129782526577,0.00018364273315539525,-0.00030731101425060525,6.605206450989443e-05,9.243599549969839e-05,-0.0016863633910744191,0.0802382204546334
27,2010-09-15,0.07940999449381,0.0802732909251663,0.0795749814638411,0.0804201054966114,0.1620797582429442,-0.00034083111427159196,3.5070470532902465e-05,-0.00047227845875880137,-0.0002655499929345023,0.01256677999028652,0.0802732909251663
28,2010-09-16,0.0794100030560399,0.0803434511180915,0.0796674649387797,0.0805730553573689,0.1328517079488425,8.562229897313145e-09,7.016019292520326e-05,9.248347493860665e-05,0.00015294986075750638,-0.02922805029410172,0.0803434511180915
29,2010-09-17,0.080038717242157,0.081861588577189,0.0811123464266536,0.0808705298103643,0.380551508283417,0.0006287141861170964,0.0015181374590974989,0.001444881487873903,0.0002974744529953971,0.2476998003345745,0.081861588577189
30,2010-09-20,0.0814864533312386,0.0848895466921249,0.0842845199645063,0.0826991036997887,0.2970360477038476,0.0014477360890816082,0.0030279581149358914,0.0031721735378526933,0.0018285738894243952,-0.08351546057956938,0.0848895466921249
31,2010-09-21,0.08432896549124,0.0857546739150858,0.0858648318968443,0.0855310307517835,0.3012721925422265,0.0028425121600013925,0.0008651272229609069,0.0015803119323379994,0.002831927051994809,0.004236144838378864,0.0857546739150858
32,2010-09-22,0.0848550996495893,0.0861788822195884,0.0855015231968568,0.0859965688665892,0.171138902379796,0.0005261341583493034,0.00042420830450259905,-0.00036330869998749127,0.0004655381148056942,-0.13013329016243047,0.0861788822195884
33,2010-09-23,0.0851446442121867,0.0857580044867613,0.0858169253658988,0.0859326993984288,0.156319140899034,0.0002895445625974019,-0.0004208777328271046,0.00031540216904199503,-6.386946816039352e-05,-0.014819761480762,0.0857580044867613
34,2010-09-24,0.0863243475728036,0.0880644670844029,0.0871611028203786,0.0871024571997421,0.2264381306999082,0.0011797033606169016,0.002306462597641598,0.001344177454479803,0.0011697578013133009,0.07011898980087419,0.0880644670844029
35,2010-09-27,0.0875007317325852,0.0885855635799587,0.0886505944527162,0.0888822926419455,0.2096082240569856,0.0011763841597815933,0.0005210964955558034,0.0014894916323375945,0.0017798354422033924,-0.01682990664292261,0.0885855635799587
36,2010-09-28,0.088266786447531,0.0880444258987717,0.0881122581158196,0.0871343929204482,0.2465260914143867,0.0007660547149457991,-0.0005411376811869928,-0.0005383363368965943,-0.0017478997214973035,0.0369178673574011,0.0880444258987717
37,2010-09-29,0.0873352614638783,0.0881312582019338,0.0880049118001817,0.0881864830113448,0.1465247423236738,-0.000931524983652704,8.683230316208768e-05,-0.00010734631563789898,0.0010520900908966013,-0.1000013490907129,0.0881312582019338
38,2010-09-30,0.0875520140121044,0.0878139490553703,0.0878282268272423,0.0872133785353027,0.2188292590793805,0.00021675254822610401,-0.0003173091465634992,-0.000176684972939406,-0.000973104476042097,0.0723045167557067,0.0878139490553703
39,2010-10-01,0.0876909978707268,0.0877855589800477,0.0876218208718723,0.0878990962764114,0.150086341805623,0.0001389838586224046,-2.8390075322598518e-05,-0.00020640595536999817,0.0006857177411087045,-0.0687429172737575,0.0877855589800477
40,2010-10-04,0.086855456990606,0.0872394286499908,0.0872304600630478,0.0872016195841147,0.1308955264151961,-0.0008355408801208053,-0.0005461303300568904,-0.00039136080882450075,-0.0006974766922967085,-0.019190815390426885,0.0872394286499908
41,2010-10-05,0.0874229628277646,0.0898915904695184,0.0891707447227155,0.0884957290217944,0.2365698019534833,0.0005675058371586023,0.0026521618195275987,0.001940284659667696,0.0012941094376796997,0.10567427553828718,0.0898915904695184
42,2010-10-06,0.0892231052032324,0.0892435728822518,0.0891624845538248,0.0890654741342478,0.1863296638065943,0.0018001423754678003,-0.0006480175872665972,-8.260168890689146e-06,0.0005697451124534042,-0.05024013814688899,0.0892435728822518
43,2010-10-07,0.0887184774418378,0.0885187467932819,0.0887083821808639,0.0889310331458005,0.1616075764934434,-0.0005046277613945938,-0.0007248260889699126,-0.00045410237296091005,-0.0001344409884472958,-0.024722087313150898,0.0885187467932819
44,2010-10-08,0.0881493102231068,0.0895775990600574,0.0887744248782011,0.0886755616014344,0.1928660083103988,-0.000569167218731001,0.0010588522667755035,6.604269733720414e-05,-0.000255471544366101,0.031258431816955395,0.0895775990600574
45,2010-10-11,0.0890940537612933,0.0899934648921551,0.0899303490107211,0.0902806054770498,0.1771558469591495,0.0009447435381864933,0.0004158658320976977,0.0011559241325199976,0.0016050438756154,-0.015710161351249308,0.0899934648921551
46,2010-10-12,0.0893653985915806,0.0904193481084252,0.0901598748963321,0.0903848026769049,0.2531973449894771,0.00027134483028730394,0.00042588321627010095,0.0002295258856110094,0.00010419719985509113,0.07604149803032761,0.0904193481084252
47,2010-10-13,0.0905037412906104,0.090738357835902,0.0904075834629681,0.0911478423507699,0.2061140791106794,0.001138342699029793,0.00031900972747681,0.0002477085666359874,0.0007630396738650125,-0.047083265878797714,0.090738357835902
48,2010-10-14,0.0900371450804491,0.090342526772149,0.0900376787951983,0.090270515095234,0.4475001349090713,-0.0004665962101612908,-0.00039583106375300214,-0.00036990466776978814,-0.0008773272555359091,0.24138605579839192,0.090342526772149
49,2010-10-15,0.0991520517616392,0.1004501764959131,0.0993494239765372,0.0994285003984255,1.0,0.009114906681190096,0.0101076497237641,0.009311745181338899,0.009157985303191507,0.5524998650909287,0.1004501764959131
50,2010-10-18,0.0993638369551892,0.1031658181131555,0.102330044929948,0.1009327060403173,0.4788057849009767,0.00021178519355000147,0.002715641617242401,0.002980620953410798,0.0015042056418917982,-0.5211942150990233,0.1031658181131555
51,2010-10-19,0.1007371080478457,0.1015157284097584,0.1015258552181293,0.1013209407060073,0.3094746640764125,0.0013732710926565028,-0.0016500897033971118,-0.000804189711818698,0.0003882346656900043,-0.1693311208245642,0.1015157284097584
52,2010-10-20,0.1006196359587697,0.1015407814961189,0.1019485920771526,0.1021007765409434,0.2377839835950569,-0.00011747208907600393,2.5053086360513066e-05,0.00042273685902328995,0.000779835834936099,-0.0716906804813556,0.1015407814961189
53,2010-10-21,0.1011772094209716,0.1022104959289248,0.1017206962295579,0.1018486599308578,0.1970009713453132,0.0005575734622018935,0.0006697144328058902,-0.0002278958475946946,-0.0002521166100856037,-0.040783012249743705,0.1022104959289248
54,2010-10-22,0.1012450426604606,0.1023006844729082,0.1015258486461773,0.1025293352730475,0.1521841778641195,6.783323948900133e-05,9.018854398340492e-05,-0.0001948475833806057,0.0006806753421896988,-0.04481679348119369,0.1023006844729082
55,2010-10-25,0.1018522728349101,0.1029637313450766,0.1031639533777337,0.1033562318263887,0.2130484053747774,0.0006072301744494968,0.0006630468721683935,0.0016381047315564001,0.0008268965533411998,0.0608642275106579,0.1029637313450766
56,2010-10-26,0.1014402962590638,0.1033144617195514,0.1025843457954658,0.1026940527171919,0.169506502617236,-0.00041197657584629566,0.0003507303744748058,-0.0005796075822678964,-0.0006621791091968032,-0.04354190275754141,0.1033144617195514
57,2010-10-27,0.1018820561369287,0.1029587194443471,0.1023812334784107,0.1029125336285951,0.1512263234579893,0.00044175987786490567,-0.000355742275204296,-0.0002031123170550958,0.00021848091140319603,-0.01828017915924668,0.1029587194443471
58,2010-10-28,0.1025901955240917,0.103311118313303,0.102546359594604,0.1030755551508276,0.1473409422049538,0.0007081393871629926,0.0003523988689558971,0.00016512611619329265,0.00016302152223250654,-0.0038853812530355025,0.103311118313303
59,2010-10-29,0.1020971430938908,0.1024960908457768,0.1022160949866296,0.1030234537324451,0.1536816685553936,-0.0004930524302008965,-0.0008150274675262081,-0.00033026460797438983,-5.210141838249416e-05,0.006340726350439807,0.1024960908457768
60,2010-11-01,0.1018754406806853,0.1027132133160439,0.1024902198931429,0.1027243005163726,0.2082388969834331,-0.00022170241320550177,0.00021712247026710318,0.0002741249065132956,-0.00029915321607250356,0.05455722842803948,0.1027132133160439
61,2010-11-02,0.1023618812763372,0.1028134256614861,0.1023812453471839,0.1032906937613767,0.1347471804004101,0.00048644059565190745,0.00010021234544220492,-0.00010897454595899803,0.0005663932450040987,-0.073491716583023,0.1028134256614861
62,2010-11-03,0.1021682909590123,0.1035783341217183,0.1026834147016209,0.1031091687265489,0.2280300577410825,-0.00019359031732490983,0.0007649084602321943,0.00030216935443699855,-0.00018152503482779525,0.09328287734067242,0.1035783341217183
63,2010-11-04,0.1033496413764732,0.1042614221795178,0.1040193371227566,0.1045545474514546,0.2408666558739409,0.0011813504174609107,0.0006830880577994997,0.001335922421135699,0.0014453787249056882,0.012836598132858396,0.1042614221795178
64,2010-11-05,0.1031080684642172,0.104396704995493,0.1032877958139573,0.1043881576283839,0.1191044735848038,-0.0002415729122560023,0.00013528281597520453,-0.0007315413087992939,-0.00016638982307069783,-0.1217621822891371,0.104396704995493
65,2010-11-08,0.1032470464814269,0.1046789500888101,0.1039483195258882,0.1047276558636595,0.1417422157465868,0.00013897801720968994,0.00028224509331710446,0.0006605237119308993,0.0003394982352755982,0.022637742161782992,0.1046789500888101
66,2010-11-09,0.1042364689207408,0.1043532728006958,0.1041728931376779,0.10428731386508,0.1509092871404673,0.0009894224393139084,-0.00032567728811430663,0.00022457361178969404,-0.00044034199857949374,0.00916707139388051,0.1043532728006958
67,2010-11-10,0.1029260713357258,0.1040292768416354,0.1028766257296961,0.1037831166186392,0.1684339755005126,-0.0013103975850149996,-0.00032399595906039413,-0.0012962674079818048,-0.0005041972464407962,0.017524688360045282,0.1040292768416354
68,2010-11-11,0.1025322878243884,0.103078966558134,0.1023564573110876,0.1032284963614814,0.1525551778101559,-0.00039378351133739775,-0.0009503102835013988,-0.0005201684186084965,-0.0005546202571578007,-0.01587879769035669,0.103078966558134
